date,dolar,tl_dolar,dolar_kac,dolar_kac_tl,dolar_kuru,dolar_ne_kadar
2005-01-31,1,0,0,0,1,0
2005-02-28,1,0,0,0,1,0
2005-03-31,1,0,0,0,1,0
2005-04-30,1,0,0,0,1,0
2005-05-31,1,0,0,0,1,0
2005-06-30,1,0,0,0,1,0
2005-07-31,1,0,0,0,1,0
2005-08-31,1,0,0,0,1,0
2005-09-30,1,0,0,0,1,0
2005-10-31,1,0,0,0,1,0
2005-11-30,1,0,0,0,1,0
2005-12-31,1,0,0,0,1,0
2006-01-31,1,0,0,0,1,0
2006-02-28,1,0,0,0,1,0
2006-03-31,1,0,0,0,1,0
2006-04-30,1,0,0,0,1,0
2006-05-31,1,0,0,0,1,0
2006-06-30,1,0,1,0,1,0
2006-07-31,1,0,0,0,1,1
2006-08-31,1,0,1,0,1,1
2006-09-30,1,0,1,0,1,1
2006-10-31,1,0,0,0,1,1
2006-11-30,1,0,1,0,1,1
2006-12-31,1,0,0,0,1,1
2007-01-31,1,0,0,0,1,1
2007-02-28,1,0,1,0,1,1
2007-03-31,1,0,1,0,1,1
2007-04-30,1,0,1,0,1,1
2007-05-31,1,0,1,0,1,1
2007-06-30,1,0,1,0,1,1
2007-07-31,1,0,1,0,1,1
2007-08-31,1,0,1,0,1,1
2007-09-30,1,0,1,0,1,1
2007-10-31,1,0,1,0,1,1
2007-11-30,1,0,1,0,1,1
2007-12-31,1,0,1,0,1,1
2008-01-31,1,0,1,0,1,1
2008-02-29,1,0,1,0,1,1
2008-03-31,1,0,1,0,1,1
2008-04-30,1,0,1,0,1,1
2008-05-31,1,0,1,0,1,1
2008-06-30,1,0,1,0,1,1
2008-07-31,1,0,1,0,1,1
2008-08-31,1,0,1,0,1,1
2008-09-30,1,0,1,0,1,1
2008-10-31,2,1,1,0,1,1
2008-11-30,1,0,1,0,1,1
2008-12-31,1,0,1,0,1,1
2009-01-31,1,1,1,1,1,1
2009-02-28,1,1,1,1,1,1
2009-03-31,1,1,1,1,1,1
2009-04-30,1,1,1,1,1,1
2009-05-31,1,1,1,1,1,1
2009-06-30,1,1,1,1,1,1
2009-07-31,1,1,1,1,1,1
2009-08-31,1,1,1,1,1,1
2009-09-30,1,1,1,1,1,1
2009-10-31,1,1,1,1,1,1
2009-11-30,1,1,1,1,1,1
2009-12-31,1,1,1,1,1,1
2010-01-31,1,1,1,1,1,1
2010-02-28,1,1,1,1,1,1
2010-03-31,1,1,1,1,1,1
2010-04-30,1,1,1,1,1,1
2010-05-31,1,1,1,1,1,1
2010-06-30,1,1,1,1,1,1
2010-07-31,1,1,1,1,1,1
2010-08-31,1,1,1,1,1,1
2010-09-30,1,1,1,1,1,1
2010-10-31,1,1,1,1,1,1
2010-11-30,1,1,1,1,1,1
2010-12-31,1,1,1,1,1,1
2011-01-31,1,1,1,1,1,1
2011-02-28,1,1,1,1,1,1
2011-03-31,1,1,1,1,1,1
2011-04-30,1,1,1,1,1,1
2011-05-31,1,1,1,1,1,1
2011-06-30,1,1,1,1,1,1
2011-07-31,1,1,1,1,1,2
2011-08-31,1,1,1,1,1,2
2011-09-30,1,1,1,1,1,1
2011-10-31,1,1,1,1,1,1
2011-11-30,1,1,1,1,1,1
2011-12-31,1,1,1,1,1,1
2012-01-31,1,1,1,1,1,1
2012-02-29,1,1,1,1,1,1
2012-03-31,1,1,1,1,1,1
2012-04-30,1,1,1,1,1,1
2012-05-31,1,1,1,1,1,1
2012-06-30,1,1,1,1,1,1
2012-07-31,1,1,1,1,1,1
2012-08-31,1,1,1,1,1,1
2012-09-30,1,1,1,1,1,1
2012-10-31,1,1,1,1,1,1
2012-11-30,1,1,1,1,1,1
2012-12-31,1,1,1,1,1,1
2013-01-31,1,1,1,1,1,1
2013-02-28,1,1,1,1,1,1
2013-03-31,1,1,1,1,1,1
2013-04-30,1,1,1,1,1,1
2013-05-31,1,1,1,1,1,1
2013-06-30,1,1,1,1,2,1
2013-07-31,1,1,1,1,1,1
2013-08-31,1,1,1,1,1,2
2013-09-30,1,1,1,1,1,1
2013-10-31,1,1,1,1,1,1
2013-11-30,1,1,1,1,1,1
2013-12-31,1,1,1,1,1,1
2014-01-31,1,1,1,1,2,1
2014-02-28,1,1,1,1,1,1
